id,username,full_name,university,wallet_address,role,created_at
83b0d947-b200-699f-25bf-598a8d34e2fc,usuario_83b0d947,Estudiante 83B0D9,,,user,2026-05-22 22:19:19.782507
f4921ba5-b1a7-8127-28df-f527de4fd2dd,usuario_f4921ba5,Estudiante F4921B,,,user,2026-05-28 18:24:01.440233
55409e27-45fc-c35f-e121-5f76c7511d93,usuario_55409e27,Estudiante 55409E,,,user,2026-05-28 23:15:05.24649
116581c1-e3a9-16b4-51f8-f797f23d9f68,usuario_116581c1,Estudiante 116581,,,user,2026-06-02 15:09:30.423437
1bc2069a-a1a4-7eff-81f4-91b89cdd91e8,usuario_1bc2069a,Estudiante 1BC206,,,user,2026-06-02 16:17:10.367883
5364b7f7-e2fc-33dc-9f48-67935cd6fbaf,usuario_5364b7f7,Estudiante 5364B7,,,user,2026-06-02 16:23:48.230492
1f928f9f-1f29-f959-faeb-e7ba85887a95,usuario_1f928f9f,Estudiante 1F928F,,,user,2026-06-02 16:35:25.738124
308ebc37-d5f0-d850-6e09-64eae085f905,usuario_308ebc37,Estudiante 308EBC,,,user,2026-06-02 16:58:53.187593
cf441de8-e0b5-ead8-1ef0-61c5a4a1c65e,usuario_cf441de8,Estudiante CF441D,,,user,2026-06-02 17:03:49.105053
ba2af1a3-9a74-e175-c4f3-0614350b415a,usuario_ba2af1a3,Estudiante BA2AF1,,,user,2026-06-02 17:04:13.497113
ea3f4726-2063-683c-8ff5-b46e51092966,usuario_ea3f4726,Estudiante EA3F47,,,user,2026-06-02 17:05:00.061305
a16db772-864d-bdf8-e4f0-2129b2cc92b3,usuario_a16db772,Estudiante A16DB7,,,user,2026-06-02 17:08:43.43215
93f7934a-fed1-b7af-e731-97dda323ef27,usuario_93f7934a,Estudiante 93F793,,,user,2026-06-02 17:10:21.580843
cf6371f9-465c-8c87-1092-f9409ed39da9,usuario_cf6371f9,Estudiante CF6371,,,user,2026-06-02 17:12:06.875724
14bd25b1-c5ef-28d6-32f6-ab31c6542141,usuario_14bd25b1,Estudiante 14BD25,,,user,2026-06-02 17:12:25.418686
795068dc-e210-737e-c2f5-361939e89198,usuario_795068dc,Estudiante 795068,,,user,2026-06-02 17:13:56.364998
ddc0d866-15a7-7d8f-8bd3-1df651dfccaf,usuario_ddc0d866,Estudiante DDC0D8,,,user,2026-06-02 17:18:10.934937
5c0ef69d-c170-fb8c-fae4-fc4b9378d620,usuario_5c0ef69d,Estudiante 5C0EF6,,,user,2026-06-04 16:55:59.168279
f9ab5365-7074-7590-2f18-c4e99660d348,usuario_f9ab5365,Estudiante F9AB53,,,user,2026-06-04 17:03:21.525998
06a3903e-b176-f145-5efd-f9b22a1a3e10,usuario_06a3903e,Estudiante 06A390,,,user,2026-06-04 17:09:20.404462
abdf4611-3ee9-0b58-2a30-f0e139d789b8,usuario_abdf4611,Estudiante ABDF46,,,user,2026-06-04 17:09:28.018346
934f5e36-30ce-1cc4-5768-1ac753a6cbf4,usuario_934f5e36,Estudiante 934F5E,,,user,2026-06-04 17:15:23.873075
7241fe81-0d93-a2c8-7c04-d8d8533d3858,usuario_7241fe81,Estudiante 7241FE,,,user,2026-06-04 17:15:54.862538
69a32df9-2086-b49c-682a-cbdf5a6648b5,usuario_69a32df9,Estudiante 69A32D,,,user,2026-06-04 17:27:38.463374
2afcf08b-7553-8bdd-dece-c1125379ca6c,usuario_2afcf08b,Estudiante 2AFCF0,,,user,2026-06-04 19:47:48.127951
f7256c41-5a9d-8ed1-340f-76b93e6eee61,usuario_f7256c41,Estudiante F7256C,,,user,2026-06-05 22:47:52.730855
4c499bcb-6318-387f-c5f7-a95b6a411dea,usuario_4c499bcb,Estudiante 4C499B,,,user,2026-06-10 16:18:25.056611
81b1e0f0-3fdf-23c0-8e6a-8967ee261486,usuario_81b1e0f0,Estudiante 81B1E0,,,user,2026-06-10 16:18:29.921572
b5aa0807-026e-89e9-82c6-09bbb39011b5,usuario_b5aa0807,Estudiante B5AA08,,,user,2026-06-16 16:30:45.084008
d2ab152d-780d-a82b-b6b0-53c52318e441,usuario_d2ab152d,Estudiante D2AB15,,,user,2026-06-16 16:32:50.905376
3e387788-45d6-02f9-9274-513aa3ff5ad3,usuario_3e387788,Estudiante 3E3877,,,user,2026-06-25 20:54:57.878641
