Id_Estudiante,Nombre_Usuario,Nombre_Completo,Universidad,Direccion_Billetera,Rol,Fecha_Creacion
bfa77e9c-3ca0-4312-ad90-62caba9259a2,,,,,usuario,2026-05-22 22:19:19.782507
62e0a551-9797-470f-9ea9-ba272d2b8446,,,,,usuario,2026-05-28 18:24:01.440233
d51f3e4e-ab78-4512-858d-c311b6f5732e,,,,,usuario,2026-05-28 23:15:05.24649
fbb5e7f5-7d0f-492a-a37f-279765412527,,,,,usuario,2026-06-02 15:09:30.423437
27ba3638-1f80-4640-9f91-0765275966fb,,,,,usuario,2026-06-02 16:17:10.367883
48b2524e-8cc4-45a6-9e44-36a989307542,,,,,usuario,2026-06-02 16:23:48.230492
ea5f9b6a-71f6-4acb-b6b3-b6c83690e696,,,,,usuario,2026-06-02 16:35:25.738124
355a20ff-0714-437a-bf2c-ebf16720e425,,,,,usuario,2026-06-02 16:58:53.187593
77468705-0a19-47cf-8407-138800287d83,,,,,usuario,2026-06-02 17:03:49.105053
dde1f88e-7faa-4db3-93fe-84aa8d448f1a,,,,,usuario,2026-06-02 17:04:13.497113
3941baf3-1ac2-48ad-b6f2-35ae8f0488c6,,,,,usuario,2026-06-02 17:05:00.061305
2180360d-7c70-4c7f-bb9a-4e009cfe7fbf,,,,,usuario,2026-06-02 17:08:43.43215
37747a39-0b3f-4ea5-aeeb-9024f5e06e7a,,,,,usuario,2026-06-02 17:10:21.580843
31c87443-6ace-4407-b57e-f70a73077123,,,,,usuario,2026-06-02 17:12:06.875724
c799225a-dcf8-4d91-a72d-b95ae1c436bb,,,,,usuario,2026-06-02 17:12:25.418686
964ba8b8-f06a-496d-af9f-22ce842be6b0,,,,,usuario,2026-06-02 17:13:56.364998
a9ef781f-e72f-4691-84da-9405cc9c3c76,,,,,usuario,2026-06-02 17:18:10.934937
218e9928-92f2-4779-97ec-87ad056101c3,,,,,usuario,2026-06-04 16:55:59.168279
6713c54e-8a88-46bc-a9eb-4e90e9a4389d,,,,,usuario,2026-06-04 17:03:21.525998
abad9f82-6e10-4569-b3c6-e47dc849a78b,,,,,usuario,2026-06-04 17:09:20.404462
35a9e81f-3809-4b37-90a7-da22e4db5182,,,,,usuario,2026-06-04 17:09:28.018346
0d5fcbd1-4ede-45e3-833e-97d8c9b3d81d,,,,,usuario,2026-06-04 17:15:23.873075
0fcddc5c-8db6-491c-b097-b1d731d3ba43,,,,,usuario,2026-06-04 17:15:54.862538
8f6a90dc-f4f3-468d-871f-40a71971cd60,,,,,usuario,2026-06-04 17:27:38.463374
884cf87c-3d97-47e7-b916-ba0b7b4b2dd1,,,,,usuario,2026-06-04 19:47:48.127951
0434f5e4-03df-4bb8-8340-f9017f0769ad,,,,,usuario,2026-06-05 22:47:52.730855
2ca2cfed-cc76-4494-91a2-f958bd23750c,,,,,usuario,2026-06-10 16:18:25.056611
f9726edc-7338-46fd-b811-292c0c255944,,,,,usuario,2026-06-10 16:18:29.921572
3628647d-a6f4-4c2f-a384-38f865c075bb,,,,,usuario,2026-06-16 16:30:45.084008
6cef7eab-2440-4e9e-8484-86ff053716c5,,,,,usuario,2026-06-16 16:32:50.905376
8449744a-fc8f-4720-8c0c-381e71ced923,,,,,usuario,2026-06-25 20:54:57.878641
